EPI_ISL_661567|hCoV-19/England/QEUH-B68223/2020|2020-11-11|England	2020-11-11
EPI_ISL_673812|hCoV-19/England/MILK-B9530C/2020|2020-11-13|England	2020-11-13
EPI_ISL_804459|hCoV-19/Netherlands/NH-RIVM-10262/2020|2020-03-17|Netherlands	2020-03-17
EPI_ISL_831973|hCoV-19/Sweden/20-52771/2020|2020-08-02|Sweden	2020-08-02
EPI_ISL_424974|hCoV-19/Taiwan/CGMH-CGU-18/2020|2020-03-18|Taiwan	2020-03-18
EPI_ISL_430465|hCoV-19/India/WB-S5/2020|2020-03-28|India	2020-03-28
EPI_ISL_616592|hCoV-19/Denmark/DCGC-2758/2020|2020-08-24|Denmark	2020-08-24
EPI_ISL_677607|hCoV-19/USA/WI-UW-2204/2020|2020-10-22|USA	2020-10-22
EPI_ISL_775475|hCoV-19/Norway/4589/2020|2020-10-18|Norway	2020-10-18
EPI_ISL_792292|hCoV-19/Argentina/PAIS-A0207/2020|2020-04-28|Argentina	2020-04-28
EPI_ISL_472006|hCoV-19/England/LIVE-9F710/2020|2020-04-22|England	2020-04-22
EPI_ISL_591432|hCoV-19/Japan/IC-0091/2020|2020-07|Japan	2020-07
EPI_ISL_698214|hCoV-19/UnitedArabEmirates/0002/2020|2020-05-07|UnitedArabEmirates	2020-05-07
EPI_ISL_757155|hCoV-19/Scotland/QEUH-C3319C/2020|2020-12-11|Scotland	2020-12-11
EPI_ISL_583492|hCoV-19/Brazil/SP-461/2020|2020-04-15|Brazil	2020-04-15
EPI_ISL_767456|hCoV-19/USA/NY-Wadsworth-287401-01/2020|2020-12-15|USA	2020-12-15
EPI_ISL_803508|hCoV-19/USA/WI-WSLH-201281/2020|2020-09-09|USA	2020-09-09
EPI_ISL_480778|hCoV-19/Australia/SA01/2020|2020-01-30|Australia	2020-01-30
EPI_ISL_591407|hCoV-19/Japan/IC-0065/2020|2020-06|Japan	2020-06
EPI_ISL_859972|hCoV-19/UnitedArabEmirates/4192/2020|2020-05-03|UnitedArabEmirates	2020-05-03
EPI_ISL_899232|hCoV-19/Switzerland/AG-ETHZ-440239/2021|2021-01-04|Switzerland	2021-01-04
EPI_ISL_956322|hCoV-19/Taiwan/CGMH-CGU-41/2020|2020-11-12|Taiwan	2020-11-12
EPI_ISL_447346|hCoV-19/Israel/2113174/2020|2020-04-15|Israel	2020-04-15
EPI_ISL_492186|hCoV-19/England/BRIS-132839/2020|2020-03-23|England	2020-03-23
EPI_ISL_520707|hCoV-19/UnitedArabEmirates/L3290324509/2020|2020-05-27|UnitedArabEmirates	2020-05-27
EPI_ISL_433791|hCoV-19/England/CAMB-78917/2020|2020-04-08|England	2020-04-08
EPI_ISL_534433|hCoV-19/Scotland/QEUH-95E2AA/2020|2020-08-08|Scotland	2020-08-08
EPI_ISL_667587|hCoV-19/Japan/IC-0158/2020|2020-09|Japan	2020-09
EPI_ISL_442418|hCoV-19/England/SHEF-CC880/2020|2020-04-11|England	2020-04-11
EPI_ISL_457407|hCoV-19/England/NORW-EB029/2020|2020-04-30|England	2020-04-30
EPI_ISL_602421|hCoV-19/Russia/DA-RII-MH2743S/2020|2020-09-25|Russia	2020-09-25
EPI_ISL_753978|hCoV-19/Germany/BE-ChVir-W1644-6714/2020|2020-08-05|Germany	2020-08-05
EPI_ISL_903940|hCoV-19/USA/WI-CDC-2-3766695/2020|2020-11-30|USA	2020-11-30
EPI_ISL_550404|hCoV-19/England/MILK-99A3BE/2020|2020-08-29|England	2020-08-29
EPI_ISL_945791|hCoV-19/England/MILK-118E5F8/2021|2021-01-26|England	2021-01-26
EPI_ISL_418291|hCoV-19/England/SHEF-BFDCD/2020|2020-03-16|England	2020-03-16
EPI_ISL_523943|hCoV-19/Germany/NW-HHU-72/2020|2020-03-07|Germany	2020-03-07
EPI_ISL_755574|hCoV-19/Italy/ABR-CAST-CL106/2020|2020-12-27|Italy	2020-12-27
EPI_ISL_913876|hCoV-19/Belgium/rega-2073/2021|2021-01-13|Belgium	2021-01-13
EPI_ISL_553137|hCoV-19/England/MILK-970C4A/2020|2020-08-18|England	2020-08-18
EPI_ISL_803403|hCoV-19/USA/WI-WSLH-201164/2020|2020-10-19|USA	2020-10-19
EPI_ISL_433755|hCoV-19/England/CAMB-785F5/2020|2020-04-06|England	2020-04-06
EPI_ISL_527387|hCoV-19/USA/PR-B40A/2020|2020-08-06|USA	2020-08-06
EPI_ISL_730723|hCoV-19/England/QEUH-C314E0/2020|2020-12-09|England	2020-12-09
EPI_ISL_508454|hCoV-19/India/WB-S64/2020|2020-05-24|India	2020-05-24
EPI_ISL_538501|hCoV-19/Indonesia/SU-NIHRD-PME4760/2020|2020-08-01|Indonesia	2020-08-01
EPI_ISL_629457|hCoV-19/England/MILK-AC89B4/2020|2020-10-22|England	2020-10-22
EPI_ISL_731942|hCoV-19/Portugal/PT1632/2020|2020-04-17|Portugal	2020-04-17
EPI_ISL_423243|hCoV-19/England/201360211/2020|2020-03-25|England	2020-03-25
EPI_ISL_439220|hCoV-19/Scotland/EDB2476/2020|2020-04-23|Scotland	2020-04-23
EPI_ISL_903225|hCoV-19/USA/IN-Lilly-IPB0173-03bc15/2020|2020-03-23|USA	2020-03-23
EPI_ISL_961877|hCoV-19/Latvia/245/2021|2021-01-11|Latvia	2021-01-11
EPI_ISL_415581|hCoV-19/Canada/BC_02421/2020|2020-03-01|Canada	2020-03-01
EPI_ISL_434954|hCoV-19/USA/TX-HMH0361/2020|2020-03-29|USA	2020-03-29
EPI_ISL_449941|hCoV-19/USA/WA-S771/2020|2020-04-13|USA	2020-04-13
EPI_ISL_570190|hCoV-19/USA/WA-UW-7671/2020|2020-04-18|USA	2020-04-18
EPI_ISL_667588|hCoV-19/Japan/IC-0159/2020|2020-09|Japan	2020-09
EPI_ISL_673640|hCoV-19/England/CAMC-B989AD/2020|2020-11-15|England	2020-11-15
EPI_ISL_709850|hCoV-19/England/CAMC-BE0311/2020|2020-11-29|England	2020-11-29
EPI_ISL_892777|hCoV-19/Japan/PG-14847/2020|2020|Japan	2020
EPI_ISL_421230|hCoV-19/Hangzhou/HZCDC0090/2020|2020-01-21|Hangzhou	2020-01-21
EPI_ISL_856710|hCoV-19/Latvia/232/2021|2021-01-12|Latvia	2021-01-12
EPI_ISL_859941|hCoV-19/UnitedArabEmirates/4160/2020|2020-05-01|UnitedArabEmirates	2020-05-01
EPI_ISL_429036|hCoV-19/USA/CA-CZB0107/2020|2020-03-28|USA	2020-03-28
EPI_ISL_477171|hCoV-19/Singapore/481/2020|2020-03-16|Singapore	2020-03-16
EPI_ISL_875686|hCoV-19/Ireland/WX-NVRL-82IRL76643/2021|2021-01-07|Ireland	2021-01-07
EPI_ISL_894360|hCoV-19/Japan/PG-15544/2020|2020-12|Japan	2020-12
EPI_ISL_859947|hCoV-19/UnitedArabEmirates/4166/2020|2020-05-01|UnitedArabEmirates	2020-05-01
EPI_ISL_433681|hCoV-19/England/CAMB-73C7D/2020|2020-04-02|England	2020-04-02
EPI_ISL_488663|hCoV-19/England/NORT-283865/2020|2020-04-01|England	2020-04-01
EPI_ISL_523940|hCoV-19/Germany/NW-HHU-69/2020|2020-03-09|Germany	2020-03-09
EPI_ISL_591451|hCoV-19/Japan/IC-0110/2020|2020-07|Japan	2020-07
EPI_ISL_681943|hCoV-19/USA/PA-MGEL-00005/2020|2020-03-26|USA	2020-03-26
EPI_ISL_733948|hCoV-19/England/QEUH-C347D5/2020|2020-12-11|England	2020-12-11
EPI_ISL_890697|hCoV-19/Canada/QC-JUS-V5261900/2020|2020-03-25|Canada	2020-03-25
EPI_ISL_489977|hCoV-19/Switzerland/VD-ETHZ-180039/2020|2020-07-01|Switzerland	2020-07-01
EPI_ISL_768636|hCoV-19/Japan/IC-0427/2020|2020-11|Japan	2020-11
EPI_ISL_860801|hCoV-19/Belarus/ChVir21898/2020|2020-10-26|Belarus	2020-10-26
EPI_ISL_660718|hCoV-19/France/OCC-SC542/2020|2020-03-30|France	2020-03-30
EPI_ISL_925146|hCoV-19/USA/VA-DCLS-2204/2020|2020-11-03|USA	2020-11-03
EPI_ISL_553040|hCoV-19/England/MILK-970C2C/2020|2020-08-18|England	2020-08-18
EPI_ISL_995604|hCoV-19/Belgium/rega-2747/2021|2021-02-02|Belgium	2021-02-02
EPI_ISL_458031|hCoV-19/India/TN-CCMB-C6/2020|2020-04-26|India	2020-04-26
EPI_ISL_467045|hCoV-19/India/GJ-GBRC179a/2020|2020-06-03|India	2020-06-03
